spine_no,cover_img,title,url,director,country,year
482,https://s3.amazonaws.com/criterion-production/films/2d01c1355a26b42297d80a960899c4f5/93Btri2IgKEjkVfyjMctarS9VtARHo_thumbnail.jpg,2 or 3 Things I Know About Her,https://www.criterion.com/films/1333-2-or-3-things-i-know-about-her,Jean-Luc Godard,France,1967
657,https://s3.amazonaws.com/criterion-production/films/ab1d9b806f1efe28878526241f632b9a/Zm61wXSmEUBWzzoMzmJOGYPvQ8Cg5v_thumbnail.jpg,3:10 to Yuma,https://www.criterion.com/films/27910-3-10-to-yuma,Delmer Daves,United States,1957
327,https://s3.amazonaws.com/criterion-production/product_images/1877-48de0a1fa166375e5c29008f57be3a14/rbztsW1GKvPEC5vTna3sbQdpYeG9Ro_small.jpg,3 Films by Louis Malle,https://www.criterion.com/boxsets/397-3-films-by-louis-malle,,,
672,https://s3.amazonaws.com/criterion-production/product_images/1832-5224e9ac2c95fb1ffa85d5fd11ddef38/6gMrpMnUAzE3BYCL3Zs6wRKUzyNZLM_small.jpg,3 Films by Roberto Rossellini Starring Ingrid Bergman,https://www.criterion.com/boxsets/982-3-films-by-roberto-rossellini-starring-ingrid-bergman,,,
528,https://s3.amazonaws.com/criterion-production/product_images/1844-c9cb634fa3b22393408e64804c4b045c/u8zW5OazrYxQD3wNBZLu8H9zaj8mTx_small.jpg,3 Silent Classics by Josef von Sternberg,https://www.criterion.com/boxsets/744-3-silent-classics-by-josef-von-sternberg,,,
230,https://s3.amazonaws.com/criterion-production/films/75466150cfc0b49b10f051e0c239f3fc/1rrp8R9m37AAxe9ctq9TFKwyYOQ8jW_thumbnail.jpg,3 Women,https://www.criterion.com/films/712-3-women,Robert Altman,United States,1977
418,https://s3.amazonaws.com/criterion-production/product_images/1856-70cb6699a8cee4d1285949a3f86c813d/NxYyVlcajs0ng5eCLjUz0H5LgGSk7Z_small.jpg,4 by Agnès Varda,https://www.criterion.com/boxsets/8-4-by-agn-s-varda,,,
958,https://s3.amazonaws.com/criterion-production/films/65395fe8adf90ac719ea54fb460176fa/l2Q2n24ks84HZnVyuZvxqzIJk55lgR_thumbnail.jpg,"4 Months, 3 Weeks and 2 Days",https://www.criterion.com/films/28617-4-months-3-weeks-and-2-days,Cristian Mungiu,Romania,2007
140,https://s3.amazonaws.com/criterion-production/films/2ae55be0d1938dcd30082006b5108053/EBSPG1J9ip2HjvJtUmzlDGLM9EtTFX_thumbnail.jpg,8½,https://www.criterion.com/films/150-8-1-2,Federico Fellini,Italy,1963
591,https://s3.amazonaws.com/criterion-production/films/b64d8d6785c12ae24b029f8b625c3c1a/PMLyOniHrRG3nyansZSwJxghltbxsC_thumbnail.jpg,12 Angry Men,https://www.criterion.com/films/27871-12-angry-men,Sidney Lumet,United States,1957
956,https://s3.amazonaws.com/criterion-production/films/22cc8506c3dcd5e77e2d68c09b5f288b/lbWguDGRXPyIVW9oJ1BLa2f1GSAG10_thumbnail.jpg,24 Frames,https://www.criterion.com/films/29399-24-frames,Abbas Kiarostami,Iran,2017
56,https://s3.amazonaws.com/criterion-production/films/aacbf709cba74e607ae657b7ea6ff1cf/2jsGvFmN8GvcK82SeP32fOu0YpUx1i_thumbnail.jpg,The 39 Steps,https://www.criterion.com/films/234-the-39-steps,Alfred Hitchcock,United Kingdom,1935
861,https://s3.amazonaws.com/criterion-production/films/30b643cfea431b3b50606249f145a888/RFDmoYxUdM1EcSWfagb3bhMvnINOWF_thumbnail.jpg,45 Years,https://www.criterion.com/films/28908-45-years,Andrew Haigh,United Kingdom,2015
376,https://s3.amazonaws.com/criterion-production/films/da2032b3d3115969152fd4f442094cbd/yunzkLos81PnuwixO24PC6ZH8Nc4vM_thumbnail.jpg,49th Parallel,https://www.criterion.com/films/520-49th-parallel,Michael Powell,United Kingdom,1941
900,https://s3.amazonaws.com/criterion-production/films/51412a295670524ffce1299968c379fd/Okb9pCnEQmV0faxMB7JmLrUTJQrvxx_thumbnail.jpg,100 Years of Olympic Films: 1912–2012,https://www.criterion.com/films/29360-100-years-of-olympic-films-1912-2012,,,
5,https://s3.amazonaws.com/criterion-production/films/6419fdfbf3442b70b449e2780ae6ac04/Jli0DzbsLXV9c4V1sPirW4n2Lw5FR8_thumbnail.jpg,The 400 Blows,https://www.criterion.com/films/151-the-400-blows,François Truffaut,France,1959
984,https://s3.amazonaws.com/criterion-production/films/9b263f6358cf0bae18244c759d4592f0/BonyZ4taymxrfBiRqY6K42NBh0jsop_thumbnail.jpg,1984,https://www.criterion.com/films/29140-1984,Michael Radford,United Kingdom,1984
,https://s3.amazonaws.com/criterion-production/films/3c55eda92e48e6aa0ed994e6788cbd6b/XqMjQLSrbbj3tsk0Ca1UNj14Ji5vQU_thumbnail.jpg,2046,https://www.criterion.com/films/28847-2046,Wong Kar Wai,Hong Kong,2004
396,https://s3.amazonaws.com/criterion-production/films/2fe2ca53e58aeac665d09fae9748347f/3oBi9k9iUQzTspeg9nyJiO6UF2bPLA_thumbnail.jpg,Ace in the Hole,https://www.criterion.com/films/829-ace-in-the-hole,Billy Wilder,United States,1951
912,https://s3.amazonaws.com/criterion-production/films/4b189bbc4839b45ecfee6d8546d303e6/KaW2t9UP1dYbpFxJDSlXEbSApZ8SaV_thumbnail.jpg,An Actor’s Revenge,https://www.criterion.com/films/28899-an-actor-s-revenge,Kon Ichikawa,Japan,1963
1115,https://s3.amazonaws.com/criterion-production/films/111e03d51ec5a1c6ff5ea883aeaa4e52/14CdE9H4an6YShLhyxtGaIL3FwSsGh_thumbnail.jpg,Adoption,https://www.criterion.com/films/31237-adoption,Márta Mészáros,Hungary,1975
185,https://s3.amazonaws.com/criterion-production/product_images/1849-d09d357682f1ee460af44664076a0ba7/nJwd7XlymlNyJ9YaYVDiXdNExr0P5Z_small.jpg,The Adventures of Antoine Doinel,https://www.criterion.com/boxsets/346-the-adventures-of-antoine-doinel,,,
