headline,link,date,author,description,tags
Share your ideas for the 2022 IRE Conference,https://www.ire.org/share-your-ideas-for-the-2022-ire-conference/,"December 9, 2021",IRE Admin,IRE wants your ideas for the upcoming IRE Conference in Denver next June. We’re also starting an email list so you can keep up with news about the conference.,"Conference, IRE Conference, Training"
Apply for free IRE custom training by Jan. 9,https://www.ire.org/apply-for-free-ire-custom-training-by-jan-9/,"December 8, 2021",IRE Admin,"IRE’s popular free custom training program is back for 2022. Spots in the program are limited and awarded on a competitive basis, and newsrooms must apply by Jan. 9.","data, Training"
Call for entries: 2021 IRE Awards,https://www.ire.org/call-for-entries-2021-ire-awards/,"December 6, 2021",Lauren Grandestaff,"It’s time to gather your best stories of the year! The 2020 IRE Awards contest is now open for submissions, and we can’t wait to see what you’ve done.","contest, IRE Awards"
NICAR22 registration is open,https://www.ire.org/nicar22-registration-is-open/,"December 6, 2021",IRE Admin,"Registration is open for IRE’s hybrid NICAR22 data journalism conference, which runs March 3-6 in Atlanta, Georgia, at the Atlanta Marriott Marquis and online. The conference will feature hands-on data classes, panels and discussions, and opportunities to network with fellow journalists.","CAR Conference, NICAR, Training"
Anzio Williams of NBCUniversal Local to give keynote address at IRE’s first DBEI Symposium,https://www.ire.org/anzio-williams-of-nbcuniversal-local-to-give-keynote-address-at-ires-first-dbei-symposium/,"September 29, 2021",IRE Admin,"Anzio Williams, a broadcasting veteran who now oversees diversity efforts for NBCUniversal Local, will deliver the keynote address of IRE’s first symposium focused on equity in newsrooms and coverage.","dbei, investigative journalism, Training"
Join IRE online in October for DBEI Symposium exploring equity in newsrooms and news coverage,https://www.ire.org/join-ire-online-in-october-for-dbei-symposium-exploring-equity-in-newsrooms-and-news-coverage/,"September 20, 2021",IRE Admin,"IRE’s first symposium on diversity and inclusion is going online Oct. 21-22, allowing members to join safely from their hometowns around the world as the pandemic continues.","dbei symposium, diversity, investigative journalism, Training"
IRE hires first director of diversity and inclusion,https://www.ire.org/ire-hires-first-director-of-diversity-and-inclusion/,"September 15, 2021",Madison Fleck Cook,Investigative Reporters and Editors is proud to announce its first director of diversity and inclusion: trainer and veteran journalist Francisco Vara-Orta.,"diversity, inclusion, journalism"
Submit your ideas for #NICAR22 and sign up for conference emails,https://www.ire.org/submit-your-ideas-for-nicar22-and-sign-up-for-conference-emails/,"September 2, 2021",IRE Admin,We want to hear from you — let us know what you'd like to see at #NICAR22.,"NICAR, NICAR Conference, NICAR22"
IRE hires former NAHJ executive director as director of partnerships,https://www.ire.org/ire-hires-former-nahj-executive-director-as-director-of-partnerships/,"August 24, 2021",Madison Fleck Cook,"Investigative Reporters and Editors is pleased to announce that veteran nonprofit executive Anna López is the new director of partnerships for the 6,000-member organization.","fundraising, hire, investigative journalism, partnership"
Registration opens for October DBEI Symposium,https://www.ire.org/registration-opens-for-october-dbei-symposium/,"August 4, 2021",IRE Admin,"Registration is open for IRE’s DBEI Symposium, which will take place Oct. 21-23 with limited in-person attendance in Baltimore, Maryland, and unlimited attendance online.","dbei, diversity, investigative journalism, journalism, Training"
