date,crime,zone,summary,pio
"July 23, 2021",Homicide,Zone 3,"At 6:45 p.m., Pittsburgh Police from Zone 3 responded to a ShotSpotter alert for gunfire in the 2100 block of S.18th Street in the area of Quarry Field, where kids were playing football. Responding officers reported that a possible victim was being driven from the scene in a white Ford vehicle. Police Chief Scott Schubert was driving up S.18th Street toward Quarry Field when he spotted a white vehicle travelling the other direction, skirting around stopped traffic. Chief Schubert pulled the vehicle over at S. 21st and Josephine Street to find a male victim in the passenger seat with gunshot wounds. Officers began CPR on the victim, taking turns doing chest compressions until medics arrived. The victim ultimately succumbed to his wounds. Homicide and Crime Scene Unit detectives processed evidence at both scenes. The driver of the vehicle provided a statement to police. The vehicle was towed to the Auto Squad for processing. The investigation is ongoing.",Cara Cruz
"October 21, 2019",Robbery,Zone 3,"Pittsburgh Police Robbery Detectives are investigating a robbery that occurred at CoGo’s, located at 20 Bailey Avenue, on October 14 at 11 p.m. The female suspect demanded the cashier turn over all of the money from the register and threatened to harm her. The suspect is described as a thin female, about 5 feet 3 inches tall and approximately 30 years of age. At the time of the robbery she was wearing black coveralls with reflective stripes. Anyone with information about the suspect pictured below is asked to please call Pittsburgh Police Robbery Detectives at (412) 323- 7161.",Cara Cruz
"June 21, 2020",SWAT,Zone 4,Pittsburgh Bureau of Police responded to the 700 block of Hazelwood Avenue around 10:40 a.m. Zone 4 officers were attempting to serve a warrant when a male inside became uncooperative behind a closed door. SWAT and negotiators was called in to assist officers. They were able to get him to open the door and communicate with the negotiator. The male was taken into custody without incident. The male was in the house alone and there were no reported injuries.,Maurice Matthew
"August 1, 2019",Burglary/Sexual Assault,Zone 4,"An arrest warrant has been issued for Robert Mitchell in connection with an incident in the Oakland neighborhood of Pittsburgh on July 5, 2019. Mitchell, 30, of Rankin PA was taken into custody by the Allegheny County Sheriff’s Office last month on unrelated charges. He is now charged with multiple crimes including: Burglary, Criminal Attempt Rape, Criminal Attempt Sexual Assault, and Aggravated Indecent Assault. He is currently being held in Allegheny County Jail awaiting arraignment on the current charges. The Pittsburgh Bureau of Police would like to thank the University of Pittsburgh Police Department for its assistance in the investigation, the Allegheny County Sheriff’s Office for apprehending Mitchell, and the community for its cooperation. Original Blotter Post: https://pittsburghpa.gov/publicsafety/blotterview.html?id=152",Cara Cruz
"April 22, 2021",Missing child,All zones,"Original post: Pittsburgh Police SVU detectives need the public's help to locate a missing 11-year-old boy. Ronnell Miller was last seen in the Brighton Heights / Marshall Shadeland neighborhoods wearing a white jacket with black sleeves, grey pants and grey shoes at around 6 p.m. on April 22. Ronnell is 5'4"" tall, 110 pounds with black hair and brown eyes. If you have any information on his whereabouts please call SVU at (412) 323-7141 or dial 9-1-1.",Cara Cruz
"May 22, 2020",Drug Arrests,Pittsburgh/East McKeesport,"Pittsburgh Bureau of Police detectives arrested two men Thursday in Lawrenceville on drug charges after a weeks-long investigation. Narcotics and Vice detectives investigated multiple citizen complaints of suspicious activity at a home in the 400 block of 44th Street in Lawrenceville. After observing activity indicative of illegal drug sales, detectives obtained a search warrant for the residence and a second search warrant for a related residence in East McKeesport. Pittsburgh Police served the warrant Thursday in Lawrenceville and recovered crack cocaine, raw (uncut) heroin, and drug packaging materials. Pittsburgh Police detectives and East McKeesport Police then served the second search warrant and recovered a Glock .45 caliber pistol with an extended magazine and ammunition. Detectives arrested William Davis, 62, and Anthony Glover, 41, at the Lawrenceville residence. They face charges of possession of a controlled substance, intent to deliver a controlled substance, possession of drug paraphernalia and criminal conspiracy. Glover also faces gun charges. Pittsburgh Police thank the public for their help in this investigation. When residents share information of suspicious activity, police solve crimes. These arrests might not have been possible without the public’s help. William Davis Anthony Glover",Chris Togneri
"November 13, 2020",Collision,Zone 5,"Pittsburgh Police, Fire and EMS responded to a 2-vehicle collision on the 8300 block of Frankstown Avenue around 10:45 p.m. When first responders arrived, they discovered the SUV with an entrapped driver. Medics extricated the male driver and transported him in critical condition. Witnesses on scene were able to extricate the pickup truck driver before the arrivial of first responders. The driver fled soon after exiting the vehicle. The Collision Investigation Unit arrived to process the scene. Frankstown Avenue was closed in both directions from Dornbush Street to Standard Avenue.",Maurice Matthew
"May 29, 2019",Deceased Male,Zone 2,Pittsburgh Bureau of Police officers responded to a report of an unresponsive male in a camp on the 2000 block of Second Avenue around 2:45 p.m. Zone 2 officers and EMS located the male. Medics declared him dead at the scene. Police are investigating. Foul play is not suspected.,Chris Togneri
"November 19, 2021",Shooting,Zone 5,"Pittsburgh Police responded to a Shotspotter alert around 5 p.m. When Zone 5 officers arrived, they located a business on the 6000 block of Penn Avenue that was struck by gunfire. A male was treated on scene for a cut received by flying glass. There were no other injuries from people in the area, or suspect descriptions The investigation is ongoing.",Maurice Matthew
"February 16, 2021",Shooting,Zone 1,"Pittsburgh Police responded to a report of shots fired on the 600 block of E Ohio Street around 2:40 p.m. When Zone 1 officers arrived, they discovered a few buildings that were struck by gunfire, along with a pick-up truck. While officers were conducting their investigation, they were alerted to a male gunshot victim on the 1500 block of Monterey Street. Medics transported the victim to a local hospital in stable condition with gunshot wounds to the legs. There were no other victims. The 600 block of E Ohio Street was closed during the investigation but has since reopened. The Crime Scene Unit processed both scenes and the investigation is ongoing.",Maurice Matthew
