title,link,descrip,date
Worker burned following chemical explosion,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-burned-following-chemical-explosion&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D89581&auth=w42x%2Fk3E1OFIm86hKltdAw&profile=_default&rank=1&query=%21padrenull,"In November 2021, a worker suffered burns to his shoulders, knees and face following an explosion at a marine maintenance facility. Early enquires indicate he was doing fibreglass repair work inside the hull of a boat using acetone. It appears a nearby heat gun has potentially ignited vapours generated by the acetone resulting in an explosion. Investigations are continuing.",22 December 2021
Safety at swimming pools,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fsafety-at-swimming-pools&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D89542&auth=IhNOGE8HxdT5wppz%2FchoBw&profile=_default&rank=2&query=%21padrenull,"In December, a young girl was pulled from a local swimming pool unresponsive. Thankfully though, she quickly recovered. The girl was at the pool for school-based activities.",20 December 2021
Fit testing for tight-fitting respirators,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2021%2Ffit-testing-for-tight-fitting-respirators&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D89431&auth=P0imClQ5ntbZN2oCEnJELQ&profile=_default&rank=3&query=%21padrenull,"The purpose of this safety alert is to highlight the importance of fit testing for tight-fitting respirators for workers who need to use them, and to reinforce this requirement under the Work Health and Safety Regulation 2011.",17 December 2021
Overhead powerline incidents,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Foverhead-powerline-incidents&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D89062&auth=Uxr8AU05XkFjxsjeRxDPZw&profile=_default&rank=4&query=%21padrenull,"In October 2021, a man suffered electric shock and severe burns while installing gutter guarding on the roof of an industrial shed. For reasons yet to be established, the worker came into contact with a nearby 11kV single wire earth return (SWER) while he was on the roof. In November 2021, a worker suffered serious burns and another minor injuries when a mobile concrete placing boom contacted an 11kV overhead powerline at a residential construction site. Initial enquiries indicate the mobile concrete placing boom was operating at the time of the incident.",10 December 2021
Fall from construction site scaffold,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Ffall-from-construction-site-scaffold&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D88920&auth=BwkAbnu0mMoY%2BFsdej6btg&profile=_default&rank=5&query=%21padrenull,"In October 2021, a worker fell approximately 3.5m from a scaffold bay extension platform (hop up) onto a scissor lift at a construction site, sustaining serious injuries.",7 December 2021
Worker seriously injured by wood chipper disk,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-seriously-injured-by-wood-chipper-disk&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D87327&auth=eWs5aM8WEkcES%2BwwRzGzfA&profile=_default&rank=6&query=%21padrenull,"In September 2021, a contractor suffered multiple fractures and a severe laceration while repairing a chipper disk weighing around two tonnes. For reasons yet to be established, the unrestrained chipper disc (part of a large wood chipping machine) has fallen from an upright position striking the contractor’s leg as it fell.",11 November 2021
Worker dies after being struck by mobile crane,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-dies-after-being-struck-by-mobile-crane&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D86687&auth=x6v8UVY9S53fVpxLMRwxlg&profile=_default&rank=7&query=%21padrenull,"In August 2021, a worker died after being struck by a mobile crane in pick-and-carry mode (lift and shift). Early investigations indicate the man was acting as a dogger and in control of a load when he was holding a tag (tether) line attached to the load that was being relocated at a workplace. It appears the worker was walking between the front of the mobile crane and the load when he was hit by the crane.",28 October 2021
Scaffold related incident,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fscaffold-related-incident&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D86182&auth=Zjb3J22imGDrGswYPEqkvw&profile=_default&rank=8&query=%21padrenull,"In July 2021, a spectator at a local sports ground in Brisbane was crushed by a tower frame scaffold. Initial enquiries indicate the scaffold appears to have blown over because of possible wind gusts, fatally crushing the man. Investigations are continuing.",21 October 2021
Use of high-pressure water spray equipment on asbestos roofs,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fuse-of-high-pressure-water-spray-equipment-on-asbestos-roofs&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D85827&auth=0JbRepseqeGVc91evuxj0A&profile=_default&rank=9&query=%21padrenull,"In August 2021, as part of cleaning, sealing & painting at a house residence, a home maintenance business used high pressure water spray equipment on an asbestos cement roof. Asbestos contaminated dust and debris (ACD) was spread across the yard, in vegetation, on adjoining structures, as well as the driveway and a car. ACD also spread on to a neighbour’s driveway and car, and onto the street and into council drains. In a separate incident also in August, a painting contractor appears to have used high pressure water spray equipment on a roof believed to have asbestos containing material ACM debris was distributed on parts of the property and two neighbouring houses.",19 October 2021
One worker killed and six injured when powerline arced to harvester,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fone-worker-killed-and-six-injured-when-powerline-arced-to-harvester&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D84467&auth=o5dFPLBC6mKqSC9xsQEY%2FA&profile=_default&rank=10&query=%21padrenull,"In July 2021, one worker died and six others received electric shocks when a harvester came close enough to an overhead powerline to cause an electric arc. Initial investigations found the powerline had dropped approximately 3.6m from its original height because the stay wire on one of the poles had broken, potentially due to corrosion.",15 October 2021
DC isolators – consequences of cancellation of a number of certifications,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fworkplace-health-and-safety-alerts%2F2021%2Fdc-isolators-consequences-of-cancellation-of-a-number-of-certifications&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D84956&auth=5L7%2BFhSGl3WEs5teZcv4wQ&profile=_default&rank=11&query=%21padrenull,Direct current (DC) isolators used in photovoltaic solar systems in household installations are classified as high risk (level 3) electrical equipment in the Electrical Equipment Safety System (EESS). They are required to be registered on the EESS national database before they are supplied in Queensland. This registration requires using a valid certificate of conformity.,6 October 2021
Worker falls from elevating work platform,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-falls-from-elevating-work-platform&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D84732&auth=eMgLCUdOxiSszkPFvGlPKA&profile=_default&rank=12&query=%21padrenull,In July 2021 a worker sustained multiple fractures and internal injuries after he fell approximately six metres from the platform of a truck mounted elevating work platform while trimming tree branches.,30 September 2021
Worker fatally crushed after being hit by moving vehicle,https://wcq-search.squiz.cloud/s/redirect?collection=wcq-alerts-push&url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2Fnews-and-events%2Falerts%2Fincident-alerts%2F2021%2Fworker-fatally-crushed-after-being-hit-by-moving-vehicle&index_url=https%3A%2F%2Fwww.worksafe.qld.gov.au%2F%3Fa%3D84488&auth=9J4ifCq%2Bvm4CQ2EbK7mYiQ&profile=_default&rank=13&query=%21padrenull,"In August 2021, a worker was fatally injured when he was crushed between his truck and a concrete column. Early investigations indicate he had positioned the truck in the loading dock to wash the back out and clean it. It appears a timber pallet was used as a wheel chock to prevent the truck rolling. The driver was seen to go behind the truck where it is reasonably believed he was repositioning the pallet, when the truck rolled back and trapped him.",29 September 2021
