company,city,date,num_workers,pdf_link
Molded Fiber Glass,Aberdeen,06/04/2021,300,https://dlr.sd.gov/warn_notices/mfg2.pdf
Remington Outdoor Company,Sturgis,11/11/2020,5,https://dlr.sd.gov/workforce_services/businesses/warn_notices/remington_outdoor_co.pdf
Sheraton,Sioux Falls,05/13/2020,140,https://dlr.sd.gov/workforce_services/businesses/warn_notices/sheraton_sf.pdf
EROS,Sioux Falls /Garretson,04/23/2020,400,https://dlr.sd.gov/workforce_services/businesses/warn_notices/eros.pdf
Bloomin' Brands Inc. (Outback Steakhouse),Sioux Falls,04/27/2020,70,https://dlr.sd.gov/workforce_services/businesses/warn_notices/bloomin_brands_outback.pdf
Visionworks,Sioux Falls,04/04/2020,8,https://dlr.sd.gov/workforce_services/businesses/warn_notices/visionworks.pdf
PBM Packaging Inc. (RR Donnelley),Howard,03/04/2020,56,https://dlr.sd.gov/workforce_services/businesses/warn_notices/pbm_packaging.pdf
Littlelfuse Inc.,Rapid City,02/25/2020,125,https://dlr.sd.gov/workforce_services/businesses/warn_notices/littelfuse.pdf
MetaBank,"Brookings, Sioux Falls",11/20/2019,74,https://dlr.sd.gov/workforce_services/businesses/warn_notices/metabank.pdf
Covington Care and Rehabilitation Center,Sioux Falls,05/31/2019,90,https://dlr.sd.gov/workforce_services/businesses/warn_notices/covington_care_rehab_ctr.pdf
Mobridge Care and Rehabilitation Center,Mobridge,11/28/2018,67,https://dlr.sd.gov/workforce_services/businesses/warn_notices/mobridge_care_rehab.pdf
TCF Bank,Sioux Falls,09/05/2018,145,https://dlr.sd.gov/workforce_services/businesses/warn_notices/tcf_bank.pdf
Ditech,Rapid City,08/17/2018,39,https://dlr.sd.gov/warn_notices/ditech.pdf
Younkers (Bonton),Sioux Falls,06/05/2018,158,https://dlr.sd.gov/workforce_services/businesses/warn_notices/bonton.pdf
Wells Fargo & Co.,Aberdeen,03/27/2018,108,https://dlr.sd.gov/workforce_services/businesses/warn_notices/wells_fargo.pdf
Molded Fiber Glass Companies,Aberdeen,02/15/2018,409,https://dlr.sd.gov/workforce_services/businesses/warn_notices/mfg.pdf
Bimbo Bakeries,Sioux Falls,09/08/2017,58,https://dlr.sd.gov/workforce_services/businesses/warn_notices/bimbo_bakeries.pdf
Buhler,Salem,03/09/2016,63,https://dlr.sd.gov/warn_notices/buhler.pdf
Nash Finch Company,Rapid City,02/03/2015,49,https://dlr.sd.gov/workforce_services/businesses/warn_notices/nash_finch.pdf
Wyndham Hotel Group,Aberdeen,09/09/2015,241,https://dlr.sd.gov/workforce_services/businesses/warn_notices/wyndham_hotel_group.pdf
Asurion,Rapid City,11/04/2014,227,https://dlr.sd.gov/workforce_services/businesses/warn_notices/asurion.pdf
Capital One,Sioux Falls,06/24/2014,750,https://dlr.sd.gov/workforce_services/businesses/warn_notices/capital_one_services.pdf
Minnesota Rubber & Plastic (Quadion LLC),Watertown,11/15/2013,171,https://dlr.sd.gov/workforce_services/businesses/warn_notices/quadion.pdf
Raven - Aerostar,Huron,09/20/2013,75,https://dlr.sd.gov/warn_notices/raven_aerostar.pdf
Sargento,North Sioux City,07/29/2013,39,https://dlr.sd.gov/workforce_services/businesses/warn_notices/sargento.pdf
"Communication Services for the Deaf, Inc.",Sioux Falls,04/22/2013,43,https://dlr.sd.gov/workforce_services/businesses/warn_notices/csd.pdf
"Stream Global Services, Inc.",Vermillion,08/22/2012,180,https://dlr.sd.gov/workforce_services/businesses/warn_notices/stream_global_svcs.pdf
Verifications,Aberdeen,05/07/2012,73,https://dlr.sd.gov/workforce_services/businesses/warn_notices/verifications_abdn_mitchell.pdf
Verifications,Mitchell,05/07/2012,75,https://dlr.sd.gov/workforce_services/businesses/warn_notices/verifications_abdn_mitchell.pdf
Hostess Brands,Sioux Falls,05/04/2012,10,https://dlr.sd.gov/workforce_services/businesses/warn_notices/hostess.pdf
Wells Fargo,Aberdeen,02/02/2012,66,https://dlr.sd.gov/warn_notices/wells_fargo_2012.pdf
Bosselman Travel Center,Rapid City,01/5/2012,30,https://dlr.sd.gov/workforce_services/businesses/warn_notices/bosselman_travel_center.pdf
"Rockwell Collins, Inc.",Ellsworth Air Force Base,10/24/2011,8,https://dlr.sd.gov/workforce_services/businesses/warn_notices/rockwell_collins.pdf
Alamo Group (SMC),Sioux Falls,10/20/2011,76,https://dlr.sd.gov/workforce_services/businesses/warn_notices/alamo_group.pdf
Premier Bankcard,Spearfish,05/23/2011,335,
Communication Services for the Deaf (CSD),Sioux Falls,03/29/2010,79,
Verety LLC,South Dakota,03/19/2010,1-5,
Terex Load King,Elk Point,12/03/2009,73,
Terex Load King,Elk Point,08/24/2009,10,
Coventry Healthcare Inc.,Aberdeen,08/19/2009,73,
Wells Fargo,Sioux Falls,07/30/2009,114,
Merillat,Rapid City,07/17/2009,158,
VeraSun Energy Corporation,Sioux Falls,05/25/2009,92,
Terex Load King,Elk Point,05/01/2009,63,
Hutchinson Technology Inc.,Sioux Falls,01/08/2009,275,
MPC,North Sioux City,01/02/2009,45,
MPC,North Sioux City,11/05/2008,89,
Student Financial Loan Corporation (SFLC),Aberdeen,05/20/2008,18,
Qwest,Sioux Falls,01/24/2008,58,
Ideal Merchandising,"Apollo Beach, FL",12/06/2007,1,
Artic Cat,Madison,11/12/2007,89,
Gateway,North Sioux City,10/11/2007,60,
Oak Valley Farms,Watertown,07/30/2007,225,
Gillette Dairy,Rapid City,05/16/2007,48,
